Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard,sub-Query 1 KendalT,sub-Query 1 Jaccard
Vacation,-0.3,0.62,0.22,0.54,-0.22,0.81
Ancient History,-0.4,1.0,-0.5,0.12,-0.57,0.62
Baby,-0.18,0.73,-0.13,0.64,-0.04,1.0
Hobbies,-0.07,0.5,0.41,0.57,0.33,0.86
House,-0.33,0.95,0.45,1.0,0.11,0.75
Train,-0.28,1.0,0.12,1.0,-0.2,0.85
Library,,1.0,,1.0,0.35,1.0
Relationship,0.41,0.69,0.09,0.94,-0.07,0.95
Phones,-0.23,1.0,-0.3,0.87,-0.07,1.0
Global Warming,-0.16,0.79,-0.19,0.93,-0.51,0.69
Food,0.36,0.93,-0.11,1.0,0.15,0.93
Music,0.18,1.0,-0.09,0.94,0.49,1.0
Environmental Protection,-0.3,0.88,0.04,0.81,0.12,0.25
Social Media,-0.4,0.73,-0.07,0.77,0.6,1.0
Product Reviews,0.49,1.0,0.18,1.0,0.0,1.0
Legal behaviors,-0.27,0.73,0.02,1.0,-0.72,0.94
Charity,-0.18,0.94,0.0,0.88,0.04,0.81
Education,0.33,0.4,0.27,0.36,0.16,0.55
Health,-0.11,0.8,-0.07,1.0,-0.04,1.0
Religion,0.53,0.0,0.42,0.57,0.19,0.86
