Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard,sub-Query 2 KendalT,sub-Query 2 Jaccard
Vacation,0.23,0.69,0.09,0.81,0.45,1.0
Ancient History,-0.16,1.0,0.85,0.12,0.55,0.5
Baby,0.09,0.73,-0.07,0.5,-0.51,0.87
Hobbies,0.0,0.69,0.6,1.0,-0.14,1.0
House,0.02,0.89,0.27,0.81,0.02,0.75
Train,-0.16,1.0,-0.04,0.94,-0.2,1.0
Library,-0.31,1.0,0.36,0.36,0.18,0.58
Relationship,0.13,0.73,-0.05,1.0,-0.36,1.0
Phones,0.43,0.2,0.04,1.0,0.27,0.88
Global Warming,-0.25,0.8,-0.07,0.88,-0.25,0.36
Food,0.02,0.8,-0.18,1.0,0.13,0.94
Music,0.36,1.0,-0.11,1.0,-0.07,0.95
Environmental Protection,0.75,0.71,-0.51,0.87,-0.16,0.55
Social Media,0.22,0.42,0.12,0.77,-0.36,0.62
Product Reviews,0.32,1.0,-0.4,1.0,0.16,1.0
Legal behaviors,-0.07,0.62,-0.11,0.89,0.18,0.62
Charity,-0.22,1.0,-0.14,0.62,-0.18,0.94
Education,0.51,0.0,0.11,0.45,-0.07,0.62
Health,0.02,0.8,-0.2,0.95,-0.04,1.0
Religion,1.0,0.0,0.42,0.57,0.33,0.64
