Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard,sub-Query 2 KendalT,sub-Query 2 Jaccard
Vacation,0.0,0.64,-0.16,0.75,0.0,0.73
Ancient History,-0.24,1.0,0.12,0.25,0.77,0.36
Baby,-0.11,0.75,0.4,0.27,-0.07,1.0
Hobbies,,1.0,0.04,1.0,0.03,1.0
House,0.07,0.67,-0.24,1.0,-0.05,0.4
Train,0.11,0.94,0.11,0.89,-0.11,1.0
Library,0.29,0.89,0.04,0.73,0.57,0.94
Relationship,-0.25,0.5,-0.38,1.0,0.02,1.0
Phones,-0.13,0.81,0.51,1.0,0.18,1.0
Global Warming,0.16,0.94,0.0,0.54,0.77,0.36
Food,-0.02,0.57,0.24,1.0,0.07,1.0
Music,0.38,1.0,0.29,1.0,0.6,0.82
Environmental Protection,-0.49,0.64,-0.13,0.81,-0.09,0.77
Social Media,-0.25,1.0,0.24,0.67,-0.14,0.5
Product Reviews,0.11,1.0,0.3,1.0,-0.16,1.0
Legal behaviors,-0.45,0.64,0.02,1.0,0.29,0.46
Charity,-0.07,0.67,0.36,0.73,-0.27,0.94
Education,0.42,0.4,0.0,0.0,0.65,0.4
Health,-0.07,0.18,0.13,1.0,0.51,1.0
Religion,1.0,0.0,0.56,0.33,-0.2,0.8
