Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard,sub-Query 1 KendalT,sub-Query 1 Jaccard
Vacation,-0.49,0.54,0.51,0.46,-0.36,0.73
Ancient History,-0.24,1.0,-0.1,0.44,-0.54,0.64
Baby,-0.07,0.67,-0.07,0.8,0.13,1.0
Hobbies,0.07,0.46,0.61,0.93,-0.27,0.5
House,-0.02,0.82,-0.24,1.0,0.58,0.54
Train,0.39,0.88,0.18,0.94,0.27,0.88
Library,,1.0,,1.0,0.45,1.0
Relationship,-0.05,0.45,-0.29,1.0,0.11,0.95
Phones,0.11,1.0,0.18,1.0,0.26,1.0
Global Warming,0.18,0.81,,1.0,0.21,0.55
Food,0.29,0.57,-0.05,1.0,0.47,0.67
Music,0.11,1.0,0.0,1.0,0.11,1.0
Environmental Protection,0.34,0.62,-0.02,0.75,0.21,0.5
Social Media,0.27,0.54,0.05,0.67,-0.11,1.0
Product Reviews,-0.09,1.0,-0.16,1.0,-0.07,1.0
Legal behaviors,-0.09,0.73,0.2,1.0,-0.18,0.88
Charity,0.11,0.67,0.18,0.73,-0.47,0.75
Education,0.42,0.4,-0.14,0.5,0.64,0.4
Health,0.42,0.18,0.13,1.0,0.0,1.0
Religion,0.58,0.4,0.42,0.46,0.26,0.79
