Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard,sub-Query 1 KendalT,sub-Query 1 Jaccard
Vacation,0.34,0.45,0.0,0.54,0.29,0.89
Ancient History,0.09,1.0,0.24,0.33,0.48,0.3
Baby,0.09,0.73,0.28,0.69,-0.47,1.0
Hobbies,0.07,0.71,0.31,0.93,-0.14,0.94
House,0.07,0.89,0.0,0.88,0.27,0.73
Train,-0.41,1.0,-0.15,1.0,0.1,1.0
Library,0.4,0.73,0.04,0.88,0.36,0.54
Relationship,0.18,0.62,0.28,1.0,0.64,0.89
Phones,0.32,0.36,0.09,1.0,0.02,0.55
Global Warming,-0.07,0.8,,1.0,0.09,0.58
Food,0.1,0.93,-0.45,1.0,0.36,0.93
Music,0.54,1.0,0.16,1.0,0.36,1.0
Environmental Protection,0.34,0.71,-0.13,0.88,0.4,0.64
Social Media,-0.52,0.71,-0.07,0.93,-0.18,1.0
Product Reviews,-0.23,1.0,0.36,1.0,0.27,1.0
Legal behaviors,-0.34,0.62,0.29,0.89,0.3,0.5
Charity,-0.04,0.94,-0.09,0.71,-0.13,0.81
Education,0.51,0.0,-0.14,0.36,0.46,0.6
Health,-0.07,0.8,-0.22,0.94,0.29,0.95
Religion,0.67,0.4,0.47,0.33,0.35,0.38
