Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard
Vacation,1.0,0.0,-0.2,0.89
Ancient History,0.4,0.33,1.0,0.0
Baby,0.6,0.33,0.44,0.67
Hobbies,0.8,0.0,,1.0
House,0.0,0.33,0.4,0.0
Train,1.0,0.0,0.8,0.57
Library,1.0,0.33,1.0,0.4
Relationship,1.0,0.0,0.8,0.0
Phones,0.11,0.5,0.8,0.33
Global Warming,0.8,0.33,,1.0
Food,0.0,0.33,,1.0
Music,0.2,0.33,1.0,0.0
Environmental Protection,0.11,0.67,-0.11,0.5
Social Media,1.0,0.33,1.0,0.5
Product Reviews,1.0,0.33,0.0,0.75
Legal behaviors,0.22,0.67,0.2,0.75
Charity,0.6,0.33,0.11,0.4
Education,1.0,0.0,0.33,0.4
Health,1.0,0.0,0.2,0.33
Religion,0.78,0.4,0.8,0.0
