Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard
Vacation,-0.26,0.33,0.64,0.12
Ancient History,0.35,0.64,0.53,0.29
Baby,0.19,0.2,0.39,0.0
Hobbies,-0.36,1.0,-0.27,0.73
House,0.25,0.47,0.24,0.33
Train,0.45,0.5,-0.15,0.74
Library,0.32,0.88,-0.3,1.0
Relationship,-0.02,0.41,0.57,0.44
Phones,-0.46,1.0,-0.05,0.27
Global Warming,0.06,0.27,0.82,0.07
Food,0.66,0.12,0.3,0.24
Music,0.18,0.35,0.25,0.62
Environmental Protection,0.75,0.19,0.62,0.33
Social Media,-0.19,1.0,0.55,0.4
Product Reviews,0.68,0.13,0.11,0.27
Legal behaviors,0.6,0.42,-0.03,0.33
Charity,-0.21,0.29,0.4,0.39
Education,0.75,0.0,-0.05,0.41
Health,0.67,0.07,-0.11,0.21
Religion,0.81,0.0,0.42,0.29
