Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard
Vacation,0.55,0.38,0.56,0.13
Ancient History,-0.17,0.65,0.46,0.17
Baby,0.36,0.67,0.58,0.13
Hobbies,0.91,0.15,0.05,0.82
House,0.63,0.0,-0.05,0.44
Train,0.43,0.71,0.15,0.83
Library,0.0,0.81,0.01,0.53
Relationship,0.24,0.25,-0.04,0.47
Phones,1.0,0.13,0.02,0.83
Global Warming,0.43,0.38,0.17,0.75
Food,0.54,0.71,0.23,0.33
Music,0.3,0.35,0.18,0.33
Environmental Protection,0.69,0.13,0.11,0.41
Social Media,-0.05,0.47,0.7,0.15
Product Reviews,-0.17,0.38,0.21,0.47
Legal behaviors,0.67,0.08,0.1,0.57
Charity,0.18,0.25,0.65,0.35
Education,1.0,0.15,0.55,0.41
Health,0.96,0.14,-0.09,0.13
Religion,0.83,0.27,0.56,0.24
