Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard
Vacation,-0.42,0.33,1.0,0.0
Ancient History,0.64,0.57,0.44,0.25
Baby,0.42,0.33,0.33,0.0
Hobbies,,1.0,-0.39,0.56
House,0.38,0.46,0.42,0.0
Train,0.32,0.5,0.18,0.64
Library,,1.0,,1.0
Relationship,-0.46,0.58,0.87,0.57
Phones,-0.73,1.0,-0.21,0.4
Global Warming,-0.14,0.22,0.91,0.2
Food,0.6,0.0,0.42,0.33
Music,0.38,0.46,0.22,0.54
Environmental Protection,0.76,0.1,0.6,0.33
Social Media,-0.15,1.0,0.62,0.22
Product Reviews,0.99,0.1,-0.12,0.4
Legal behaviors,0.73,0.18,0.02,0.46
Charity,-0.07,0.18,0.87,0.18
Education,1.0,0.0,0.05,0.5
Health,1.0,0.0,-0.02,0.2
Religion,0.53,0.0,0.33,0.18
