Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard
Vacation,0.49,0.4,0.91,0.2
Ancient History,0.0,0.58,0.67,0.22
Baby,0.39,0.71,0.64,0.0
Hobbies,0.94,0.33,-0.1,0.73
House,0.51,0.0,-0.02,0.2
Train,0.13,0.56,-0.17,0.85
Library,-0.03,0.92,0.09,0.64
Relationship,-0.04,0.54,0.24,0.55
Phones,1.0,0.0,0.14,0.88
Global Warming,0.19,0.4,0.39,0.6
Food,0.65,0.56,0.27,0.27
Music,0.43,0.36,0.38,0.18
Environmental Protection,1.0,0.0,0.39,0.3
Social Media,-0.3,0.62,0.81,0.22
Product Reviews,0.02,0.22,0.11,0.5
Legal behaviors,0.77,0.2,0.42,0.33
Charity,0.2,0.5,0.73,0.0
Education,1.0,0.0,0.34,0.45
Health,0.95,0.22,-0.13,0.54
Religion,1.0,0.0,0.6,0.33
