Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard,sub-Query 2 KendalT,sub-Query 2 Jaccard
Vacation,0.53,0.88,0.0,0.75,0.74,1.0
Ancient History,-0.32,1.0,0.56,0.4,0.11,0.67
Baby,0.4,0.57,0.67,0.4,-0.74,0.71
Hobbies,-0.11,0.88,,1.0,,1.0
House,-0.4,0.75,0.0,0.75,-0.47,1.0
Train,0.33,1.0,0.11,0.88,-0.4,1.0
Library,,1.0,1.0,0.4,-0.32,0.88
Relationship,0.95,0.88,0.32,1.0,-0.32,1.0
Phones,0.11,0.5,0.2,1.0,0.11,1.0
Global Warming,-0.95,0.88,-0.11,0.88,-0.44,0.67
Food,0.74,0.88,0.0,1.0,0.4,0.89
Music,0.2,1.0,0.2,1.0,-0.4,1.0
Environmental Protection,0.44,0.4,-0.89,1.0,-0.11,0.0
Social Media,0.4,0.57,0.53,0.5,-0.11,0.67
Product Reviews,0.53,1.0,-0.32,1.0,0.0,1.0
Legal behaviors,-0.22,0.86,-0.6,0.89,0.36,0.4
Charity,-0.4,1.0,-0.11,0.4,-0.95,0.88
Education,1.0,0.0,-0.11,0.4,-0.22,0.67
Health,-0.11,0.71,0.4,1.0,0.11,1.0
Religion,1.0,0.0,0.2,0.33,1.0,0.4
