Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard,sub-Query 1 KendalT,sub-Query 1 Jaccard
Vacation,-0.53,0.71,0.6,0.57,-0.53,1.0
Ancient History,-0.11,1.0,-0.89,0.67,-0.32,0.71
Baby,-0.6,0.75,-0.74,0.71,0.53,1.0
Hobbies,0.53,0.5,0.56,0.4,-0.12,0.83
House,-0.2,0.89,0.6,1.0,0.0,0.57
Train,-0.44,1.0,-0.63,1.0,-0.26,0.83
Library,,1.0,,1.0,0.63,1.0
Relationship,0.0,0.67,0.11,0.88,-0.2,1.0
Phones,,1.0,-0.84,0.86,,1.0
Global Warming,-0.56,1.0,0.11,1.0,-0.44,0.86
Food,0.74,0.88,-0.2,1.0,0.32,1.0
Music,-0.4,1.0,-1.0,0.89,0.4,1.0
Environmental Protection,-0.32,0.88,-0.11,0.88,0.43,0.0
Social Media,-0.32,1.0,0.27,0.5,0.53,1.0
Product Reviews,0.4,1.0,-0.11,1.0,-0.2,1.0
Legal behaviors,0.11,1.0,0.2,1.0,-0.95,1.0
Charity,-0.8,1.0,0.53,1.0,0.11,0.88
Education,0.56,0.4,0.56,0.4,0.94,0.6
Health,-0.32,0.88,-0.4,1.0,0.0,1.0
Religion,0.78,0.4,0.4,0.57,0.0,0.86
