Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard,sub-Query 2 KendalT,sub-Query 2 Jaccard
Vacation,0.6,0.57,0.6,0.57,0.11,0.67
Ancient History,0.74,1.0,-0.89,0.67,0.11,0.86
Baby,-0.4,0.75,0.32,0.71,-0.33,0.86
Hobbies,,1.0,0.56,0.67,0.4,1.0
House,0.0,0.89,-0.6,1.0,-0.27,0.8
Train,0.89,1.0,0.53,1.0,0.2,1.0
Library,,1.0,-0.32,0.88,0.11,0.88
Relationship,-0.11,0.88,-0.74,0.88,0.53,1.0
Phones,0.11,0.71,0.4,0.89,-0.11,1.0
Global Warming,0.25,1.0,1.0,0.86,-0.44,0.67
Food,-0.32,0.88,-0.2,1.0,0.2,1.0
Music,0.4,1.0,0.0,0.89,0.4,0.89
Environmental Protection,-0.32,0.88,0.11,0.88,-0.5,0.83
Social Media,-0.32,1.0,0.27,0.5,-0.11,0.67
Product Reviews,-0.11,1.0,0.32,1.0,-0.2,1.0
Legal behaviors,0.11,1.0,0.0,1.0,-0.12,0.67
Charity,0.4,1.0,0.32,1.0,0.11,1.0
Education,0.56,0.4,1.0,0.4,-0.22,0.67
Health,-0.32,0.88,-0.2,1.0,-0.11,1.0
Religion,1.0,0.0,0.4,0.33,0.11,0.88
