Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard,sub-Query 2 KendalT,sub-Query 2 Jaccard
Vacation,0.06,0.63,-0.1,0.74,0.38,0.93
Ancient History,-0.05,1.0,0.89,0.0,0.4,0.5
Baby,-0.09,0.83,0.03,0.6,-0.39,0.58
Hobbies,0.02,0.5,0.42,1.0,-0.26,0.94
House,-0.23,0.93,0.29,0.84,0.02,0.59
Train,-0.5,0.96,-0.1,0.88,0.03,1.0
Library,-0.19,1.0,0.42,0.53,0.17,0.63
Relationship,0.07,0.67,-0.48,1.0,-0.02,1.0
Phones,0.53,0.25,-0.04,0.96,0.08,0.84
Global Warming,-0.28,0.73,-0.2,0.78,-0.15,0.58
Food,0.03,0.83,-0.09,1.0,0.15,0.96
Music,0.42,1.0,0.05,1.0,-0.06,0.96
Environmental Protection,0.55,0.83,-0.51,0.82,-0.04,0.21
Social Media,0.05,0.63,0.15,0.75,-0.34,0.65
Product Reviews,0.08,1.0,-0.41,1.0,0.11,0.96
Legal behaviors,0.11,0.56,0.14,0.93,-0.15,0.65
Charity,-0.15,0.88,0.14,0.77,0.04,0.96
Education,0.24,0.08,0.01,0.5,0.09,0.63
Health,0.06,0.88,-0.27,0.84,0.23,1.0
Religion,0.83,0.14,0.33,0.5,0.18,0.65
