Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard,sub-Query 1 KendalT,sub-Query 1 Jaccard
Vacation,-0.33,0.67,0.18,0.57,-0.07,0.73
Ancient History,-0.37,1.0,0.0,0.36,-0.17,0.74
Baby,0.06,0.62,0.22,0.6,0.36,1.0
Hobbies,0.01,0.33,0.57,0.94,0.09,0.53
House,-0.09,0.8,0.03,1.0,0.27,0.62
Train,-0.07,0.92,-0.08,0.96,0.0,0.84
Library,0.27,1.0,-0.22,1.0,0.45,1.0
Relationship,-0.02,0.2,-0.06,1.0,0.03,0.97
Phones,-0.09,1.0,0.12,1.0,0.18,1.0
Global Warming,0.1,0.74,0.13,0.94,0.22,0.29
Food,0.35,0.64,0.04,1.0,0.42,0.55
Music,0.33,1.0,0.15,1.0,-0.28,1.0
Environmental Protection,0.28,0.6,0.26,0.7,-0.03,0.44
Social Media,-0.02,0.68,0.3,0.5,-0.14,0.96
Product Reviews,-0.08,1.0,0.03,1.0,0.01,1.0
Legal behaviors,-0.16,0.67,0.12,1.0,-0.21,0.6
Charity,0.05,0.64,-0.01,0.73,-0.24,0.7
Education,0.39,0.38,-0.15,0.44,0.42,0.29
Health,0.31,0.33,-0.04,1.0,-0.19,1.0
Religion,0.73,0.38,0.34,0.55,0.13,0.71
