Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard,sub-Query 1 KendalT,sub-Query 1 Jaccard
Vacation,-0.14,0.67,0.15,0.55,-0.21,0.84
Ancient History,-0.29,1.0,0.04,0.23,-0.3,0.67
Baby,-0.07,0.6,-0.15,0.55,-0.24,0.96
Hobbies,-0.21,0.41,0.56,0.67,0.15,0.86
House,-0.21,0.93,-0.02,1.0,-0.03,0.7
Train,0.06,1.0,0.08,1.0,-0.24,0.89
Library,0.22,1.0,-0.17,1.0,0.24,1.0
Relationship,0.39,0.71,-0.11,0.96,-0.12,0.97
Phones,-0.32,1.0,0.01,0.92,0.24,1.0
Global Warming,0.14,0.71,-0.24,0.95,-0.18,0.56
Food,0.11,0.82,-0.06,1.0,0.07,0.95
Music,0.41,1.0,-0.04,0.96,0.38,0.96
Environmental Protection,-0.2,0.88,0.02,0.68,-0.09,0.5
Social Media,-0.32,0.67,0.02,0.67,0.52,0.96
Product Reviews,0.24,1.0,0.21,1.0,0.17,1.0
Legal behaviors,-0.17,0.71,-0.07,1.0,-0.23,0.82
Charity,-0.33,0.88,0.01,0.88,0.25,0.84
Education,0.14,0.33,0.08,0.44,0.11,0.4
Health,-0.13,0.88,0.07,1.0,0.04,1.0
Religion,0.59,0.27,0.46,0.39,0.18,0.87
