Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard,sub-Query 2 KendalT,sub-Query 2 Jaccard
Vacation,0.05,0.73,0.04,0.55,-0.08,0.77
Ancient History,0.18,1.0,-0.1,0.23,0.51,0.41
Baby,-0.12,0.83,-0.04,0.55,0.13,0.96
Hobbies,0.14,1.0,-0.03,0.58,0.21,1.0
House,0.07,0.92,-0.17,1.0,-0.24,0.59
Train,0.39,0.91,-0.1,1.0,-0.18,1.0
Library,-0.04,1.0,0.1,0.68,0.36,0.87
Relationship,0.13,0.67,0.3,0.96,0.31,0.96
Phones,-0.02,0.68,0.19,0.92,0.02,0.92
Global Warming,0.15,0.75,0.09,0.71,-0.23,0.65
Food,-0.16,0.67,-0.13,1.0,-0.05,1.0
Music,0.05,1.0,0.09,0.97,0.08,0.93
Environmental Protection,-0.19,0.88,0.18,0.78,0.16,0.59
Social Media,-0.35,1.0,-0.1,0.67,0.18,0.65
Product Reviews,0.07,1.0,0.1,0.96,-0.1,0.93
Legal behaviors,0.13,0.67,-0.09,1.0,-0.22,0.77
Charity,0.2,0.88,0.08,0.93,-0.05,0.96
Education,0.27,0.44,0.43,0.56,0.04,0.61
Health,0.12,0.88,-0.32,1.0,-0.04,1.0
Religion,0.92,0.14,0.28,0.5,0.05,0.75
