Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard,sub-Query 1 KendalT,sub-Query 1 Jaccard
Vacation,0.22,0.56,-0.17,0.62,0.15,0.88
Ancient History,0.08,1.0,0.21,0.17,0.13,0.41
Baby,0.27,0.79,0.19,0.58,-0.59,1.0
Hobbies,0.21,0.5,0.31,0.94,-0.11,0.91
House,0.0,0.93,-0.11,0.88,0.13,0.84
Train,-0.55,1.0,0.09,0.95,0.21,0.89
Library,0.33,0.79,0.34,0.75,0.24,0.6
Relationship,0.25,0.67,0.25,1.0,0.43,0.89
Phones,0.38,0.35,0.1,1.0,0.01,0.29
Global Warming,-0.18,0.67,-0.23,1.0,-0.15,0.47
Food,0.01,0.89,0.06,1.0,0.2,0.95
Music,0.48,1.0,0.22,1.0,0.16,1.0
Environmental Protection,0.2,0.83,-0.13,0.84,0.15,0.68
Social Media,-0.19,0.65,-0.04,0.86,-0.13,0.93
Product Reviews,-0.14,1.0,0.43,1.0,0.33,0.96
Legal behaviors,-0.29,0.44,0.05,0.93,0.15,0.59
Charity,-0.27,0.88,0.19,0.83,-0.29,0.84
Education,0.24,0.08,0.0,0.44,0.6,0.43
Health,0.07,0.88,-0.02,0.88,0.15,0.96
Religion,0.59,0.47,0.31,0.42,0.18,0.56
