Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard,sub-Query 1 KendalT,sub-Query 1 Jaccard
Vacation,-0.09,0.59,0.06,0.62,-0.03,0.59
Ancient History,-0.17,1.0,-0.14,0.4,-0.18,0.7
Baby,0.1,0.5,0.15,0.59,0.44,1.0
Hobbies,0.02,0.33,0.48,0.96,0.06,0.6
House,-0.01,0.79,-0.02,0.92,0.08,0.56
Train,0.01,0.85,-0.03,0.95,-0.1,0.81
Library,0.23,1.0,-0.47,1.0,0.34,1.0
Relationship,0.03,0.24,0.15,1.0,0.05,0.95
Phones,-0.14,1.0,0.04,0.97,0.02,1.0
Global Warming,0.16,0.74,-0.01,0.95,0.34,0.42
Food,0.38,0.71,0.1,1.0,0.31,0.56
Music,0.3,1.0,0.11,1.0,-0.29,1.0
Environmental Protection,0.26,0.54,0.22,0.71,0.02,0.3
Social Media,0.15,0.74,0.31,0.43,-0.13,0.94
Product Reviews,0.02,1.0,0.08,1.0,-0.06,1.0
Legal behaviors,-0.06,0.69,0.18,1.0,-0.06,0.69
Charity,0.26,0.75,0.1,0.73,-0.12,0.71
Education,0.34,0.38,0.22,0.42,0.25,0.4
Health,0.02,0.33,-0.13,1.0,0.03,1.0
Religion,0.74,0.43,0.18,0.5,0.11,0.63
