Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard,sub-Query 2 KendalT,sub-Query 2 Jaccard
Vacation,0.06,0.54,-0.13,0.82,0.25,0.89
Ancient History,0.02,0.97,0.54,0.22,0.34,0.39
Baby,-0.1,0.88,-0.01,0.59,-0.28,0.56
Hobbies,-0.02,0.58,0.15,1.0,-0.22,0.96
House,-0.27,0.92,0.28,0.85,0.05,0.74
Train,-0.2,0.94,0.01,0.85,-0.01,1.0
Library,-0.12,1.0,0.45,0.48,0.21,0.62
Relationship,0.13,0.59,-0.24,1.0,0.09,1.0
Phones,0.61,0.42,0.01,0.97,0.14,0.7
Global Warming,-0.11,0.69,-0.05,0.81,-0.04,0.48
Food,0.01,0.88,-0.23,1.0,0.08,0.97
Music,0.48,1.0,0.0,1.0,-0.07,0.97
Environmental Protection,0.47,0.69,-0.4,0.76,0.15,0.3
Social Media,0.12,0.76,0.19,0.64,-0.32,0.71
Product Reviews,0.09,1.0,-0.22,1.0,-0.06,0.91
Legal behaviors,0.09,0.6,0.11,0.89,-0.22,0.68
Charity,-0.09,0.78,0.15,0.81,0.03,0.97
Education,0.1,0.11,-0.22,0.46,0.27,0.62
Health,0.23,0.88,-0.13,0.85,0.25,1.0
Religion,0.6,0.38,0.53,0.52,0.08,0.71
