Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard,sub-Query 2 KendalT,sub-Query 2 Jaccard
Vacation,0.07,0.72,0.04,0.66,-0.01,0.77
Ancient History,0.22,1.0,-0.06,0.43,0.4,0.46
Baby,-0.26,0.88,0.09,0.56,0.09,0.97
Hobbies,-0.12,1.0,-0.06,0.62,0.33,0.97
House,-0.02,0.94,-0.12,0.95,-0.09,0.64
Train,0.27,0.94,-0.07,0.97,-0.19,1.0
Library,0.05,1.0,0.14,0.66,0.25,0.87
Relationship,0.17,0.64,0.22,0.97,0.15,0.97
Phones,0.04,0.74,0.3,0.94,-0.03,0.94
Global Warming,0.1,0.75,0.15,0.77,-0.25,0.54
Food,0.1,0.73,-0.07,1.0,0.07,1.0
Music,0.21,1.0,-0.01,0.97,0.14,0.95
Environmental Protection,-0.12,0.78,0.1,0.64,0.1,0.58
Social Media,-0.26,1.0,-0.02,0.62,0.09,0.71
Product Reviews,0.11,1.0,-0.09,0.97,-0.07,0.88
Legal behaviors,0.13,0.77,-0.03,1.0,-0.05,0.72
Charity,0.28,0.85,0.1,0.92,-0.15,0.97
Education,0.24,0.45,-0.05,0.56,0.07,0.5
Health,0.18,0.88,-0.34,1.0,-0.11,1.0
Religion,0.6,0.33,0.19,0.46,0.04,0.74
